  0.00000000  -14.42861077
  1.78707341  -14.42861077
  1.78707341  100.13408551
  1.78707341  -14.42861077
  2.68061011  -14.42861077
  2.68061011  100.13408551
  2.68061011  -14.42861077
  3.31243597  -14.42861077
  3.31243597  100.13408551
  3.31243597  -14.42861077
  5.20791356  -14.42861077
  5.20791356  100.13408551
  5.20791356  -14.42861077
  6.75556452  -14.42861077
  6.75556452  100.13408551
  6.75556452  -14.42861077
  7.84991902  -14.42861077
  7.84991902  100.13408551
  7.84991902  -14.42861077
  8.48174488  -14.42861077
  8.48174488  100.13408551
  8.48174488  -14.42861077
  9.74539660  -14.42861077
  9.74539660  100.13408551
  9.74539660  -14.42861077
 10.83975110  -14.42861077
 10.83975110  100.13408551
 10.83975110  -14.42861077
 12.56593145  -14.42861077
 12.56593145  100.13408551
  0.00000000  100.13408551
  0.00000000  -14.42861077
  0.00000000    0.00000000
 12.56593145    0.00000000
